Phase,Conditions,Growth Time,R2s,Type,Glucose r2,Mgso4 r2,Nacl r2,Similarity to mgso4_400_7.2,Concentration,Similarity to glucose_4,Batch,Mg Type,Na Type,Correlation to glucose_4
exponential,glucose_3,3,-0.480000844,glucose,-0.480000844,#N/A,#N/A,21628.94163,#N/A,13632.73298,8,baseMg,baseNa,0.959127054
exponential,glucose_4,4,-0.486022226,glucose,-0.486022226,#N/A,#N/A,17812.09679,#N/A,0,8,baseMg,baseNa,1
exponential,glucose_5,5,-0.462727989,glucose,-0.462727989,#N/A,#N/A,25316.19907,#N/A,20330.06015,8,baseMg,baseNa,0.908942408
exponential,glucose_6,6,-0.472920377,glucose,-0.472920377,#N/A,#N/A,19669.1822,#N/A,12112.42449,8,baseMg,baseNa,0.967734325
exponential,glucose_8,8,-0.340030181,glucose,-0.340030181,#N/A,#N/A,39999.36267,#N/A,36546.9618,8,baseMg,baseNa,0.705888466
stationary,glucose_24,24,-0.286962507,glucose,-0.286962507,#N/A,#N/A,46932.49461,#N/A,45082.27664,8,baseMg,baseNa,0.53974781
stationary,glucose_48,48,-0.233730397,glucose,-0.233730397,#N/A,#N/A,49980.28534,#N/A,48240.56709,8,baseMg,baseNa,0.469658757
late_stationary,glucose_168,168,-0.237684838,glucose,-0.237684838,#N/A,#N/A,49374.32813,#N/A,47041.20253,8,baseMg,baseNa,0.511146589
late_stationary,glucose_336,336,-0.339328013,glucose,-0.339328013,#N/A,#N/A,39150.70499,#N/A,36821.53589,8,baseMg,baseNa,0.701821384
exponential,glucose_3.1,3,-0.475856909,glucose,-0.475856909,#N/A,#N/A,19141.88332,#N/A,11701.08315,9,baseMg,baseNa,0.969894919
exponential,glucose_4.1,4,-0.475459087,glucose,-0.475459087,#N/A,#N/A,17851.60759,#N/A,10261.0825,9,baseMg,baseNa,0.976850549
exponential,glucose_5.1,5,-0.472417814,glucose,-0.472417814,#N/A,#N/A,17956.6739,#N/A,10488.46183,9,baseMg,baseNa,0.975813382
exponential,glucose_6.1,6,-0.463343444,glucose,-0.463343444,#N/A,#N/A,19888.42192,#N/A,14129.64134,9,baseMg,baseNa,0.956102443
exponential,glucose_8.1,8,-0.444255886,glucose,-0.444255886,#N/A,#N/A,25032.43252,#N/A,19173.19763,9,baseMg,baseNa,0.919173454
stationary,glucose_24.1,24,-0.310608665,glucose,-0.310608665,#N/A,#N/A,45470.84238,#N/A,43331.595,9,baseMg,baseNa,0.584435486
stationary,glucose_48.1,48,-0.288390428,glucose,-0.288390428,#N/A,#N/A,47875.33879,#N/A,46209.77627,9,baseMg,baseNa,0.526348578
late_stationary,glucose_168.1,168,-0.242050759,glucose,-0.242050759,#N/A,#N/A,47585.47004,#N/A,45673.5527,9,baseMg,baseNa,0.541341538
late_stationary,glucose_336.1,336,-0.331489788,glucose,-0.331489788,#N/A,#N/A,41626.12278,#N/A,39676.99844,9,baseMg,baseNa,0.653876383
exponential,glycerol_5,5,-0.425168491,glycerol,#N/A,#N/A,#N/A,27943.74755,#N/A,21937.84717,10,baseMg,baseNa,0.894158644
exponential,glycerol_7,7,-0.439097087,glycerol,#N/A,#N/A,#N/A,25608.00733,#N/A,18527.6427,10,baseMg,baseNa,0.924511074
exponential,glycerol_8,8,-0.448569709,glycerol,#N/A,#N/A,#N/A,24356.36582,#N/A,17266.10094,10,baseMg,baseNa,0.934442578
exponential,glycerol_10,10,-0.452833289,glycerol,#N/A,#N/A,#N/A,22293.05755,#N/A,15922.4308,10,baseMg,baseNa,0.944249902
exponential,glycerol_14,14,-0.34899826,glycerol,#N/A,#N/A,#N/A,38805.21229,#N/A,34645.02776,10,baseMg,baseNa,0.735828413
stationary,glycerol_24,24,-0.303120451,glycerol,#N/A,#N/A,#N/A,43809.84473,#N/A,40805.77452,10,baseMg,baseNa,0.627603335
stationary,glycerol_48,48,-0.253342856,glycerol,#N/A,#N/A,#N/A,46399.27221,#N/A,44263.29548,10,baseMg,baseNa,0.568244143
late_stationary,glycerol_168,168,-0.374729134,glycerol,#N/A,#N/A,#N/A,33163.8737,#N/A,32759.50403,10,baseMg,baseNa,0.764056433
late_stationary,glycerol_336,336,-0.405103969,glycerol,#N/A,#N/A,#N/A,33642.05766,#N/A,30193.74911,10,baseMg,baseNa,0.799366891
exponential,glycerol_5.1,5,-0.473010155,glycerol,#N/A,#N/A,#N/A,23556.5326,#N/A,17319.13632,11,baseMg,baseNa,0.934012661
exponential,glycerol_7.1,7,-0.445830757,glycerol,#N/A,#N/A,#N/A,25594.57443,#N/A,18988.59296,11,baseMg,baseNa,0.920695899
exponential,glycerol_8.1,8,-0.440573112,glycerol,#N/A,#N/A,#N/A,27582.14547,#N/A,20526.47612,11,baseMg,baseNa,0.907228449
exponential,glycerol_10.1,10,-0.3586846,glycerol,#N/A,#N/A,#N/A,40153.89095,#N/A,36015.31138,11,baseMg,baseNa,0.713288379
exponential,glycerol_14.1,14,-0.311672047,glycerol,#N/A,#N/A,#N/A,45025.82219,#N/A,42694.24236,11,baseMg,baseNa,0.574599832
stationary,glycerol_24.1,24,-0.224122542,glycerol,#N/A,#N/A,#N/A,50160.82221,#N/A,48228.65802,11,baseMg,baseNa,0.45594348
stationary,glycerol_48.1,48,-0.411915842,glycerol,#N/A,#N/A,#N/A,32659.14443,#N/A,28897.41665,11,baseMg,baseNa,0.811231071
late_stationary,glycerol_168.1,168,-0.373414513,glycerol,#N/A,#N/A,#N/A,37408.69464,#N/A,35179.27527,11,baseMg,baseNa,0.724622876
exponential,glycerol_5.2,5,-0.451457401,glycerol,#N/A,#N/A,#N/A,27723.26757,#N/A,22322.24775,12,baseMg,baseNa,0.890377791
exponential,glycerol_7.2,7,-0.425989924,glycerol,#N/A,#N/A,#N/A,28598.33663,#N/A,22885.65407,12,baseMg,baseNa,0.884631697
exponential,glycerol_8.2,8,-0.411851197,glycerol,#N/A,#N/A,#N/A,31041.63047,#N/A,25536.91918,12,baseMg,baseNa,0.855648229
exponential,glycerol_10.2,10,-0.39823733,glycerol,#N/A,#N/A,#N/A,36658.18767,#N/A,31486.83113,12,baseMg,baseNa,0.779928082
exponential,glycerol_14.2,14,-0.25521309,glycerol,#N/A,#N/A,#N/A,49120.76366,#N/A,46229.14827,12,baseMg,baseNa,0.51316113
stationary,glycerol_24.2,24,-0.227164816,glycerol,#N/A,#N/A,#N/A,50304.94511,#N/A,48382.27991,12,baseMg,baseNa,0.466468764
stationary,glycerol_48.2,48,-0.204143852,glycerol,#N/A,#N/A,#N/A,51177.97864,#N/A,49705.94909,12,baseMg,baseNa,0.44391604
late_stationary,glycerol_168.2,168,-0.413854447,glycerol,#N/A,#N/A,#N/A,35877.1129,#N/A,33709.53875,12,baseMg,baseNa,0.749319815
exponential,glucose_5.5,5.5,-0.43650722,nacl,-0.43650722,#N/A,#N/A,27236.60368,5,20374.32249,13,baseMg,baseNa,0.908716308
exponential,nacl_200_6,6,-0.43873841,nacl,#N/A,#N/A,-0.43873841,27131.23096,200,21718.19671,13,baseMg,highNa,0.896294464
exponential,nacl_300_8,8,-0.489840014,nacl,#N/A,#N/A,-0.489840014,17378.6129,300,14663.65379,13,baseMg,highNa,0.952707149
stationary,glucose_28,28,-0.230978063,nacl,-0.230978063,#N/A,#N/A,50676.47413,5,48965.49525,13,baseMg,baseNa,0.443283831
stationary,nacl_100_28,28,-0.268650499,nacl,#N/A,#N/A,-0.268650499,48480.62305,100,47115.02411,13,baseMg,highNa,0.4884102
stationary,nacl_200_28,28,-0.225051405,nacl,#N/A,#N/A,-0.225051405,48565.76142,200,48056.49129,13,baseMg,highNa,0.399111147
stationary,nacl_300_28,28,-0.321474159,nacl,#N/A,#N/A,-0.321474159,44397.79042,300,43422.25602,13,baseMg,highNa,0.545391838
exponential,glucose_6.2,6,-0.441470137,nacl,-0.441470137,#N/A,#N/A,24986.3979,5,17522.95151,14,baseMg,baseNa,0.932465372
exponential,nacl_100_6.5,6.5,-0.30412713,nacl,#N/A,#N/A,-0.30412713,42642.90477,100,39194.5602,14,baseMg,highNa,0.661258532
exponential,nacl_200_8,8,-0.354840743,nacl,#N/A,#N/A,-0.354840743,40300.50639,200,38003.22909,14,baseMg,highNa,0.681840771
exponential,nacl_300_10,10,-0.447605218,nacl,#N/A,#N/A,-0.447605218,28619.111,300,26841.91415,14,baseMg,highNa,0.841551674
stationary,glucose_29,29,-0.331290822,nacl,-0.331290822,#N/A,#N/A,43410.88475,5,40671.55352,14,baseMg,baseNa,0.628130985
stationary,nacl_100_29,29,-0.259846842,nacl,#N/A,#N/A,-0.259846842,46259.27656,100,45319.95763,14,baseMg,highNa,0.441163738
stationary,nacl_200_29,29,-0.177009065,nacl,#N/A,#N/A,-0.177009065,53338.08439,200,53062.73717,14,baseMg,highNa,0.25555836
stationary,nacl_300_29,29,-0.305460996,nacl,#N/A,#N/A,-0.305460996,42671.02933,300,41094.11331,14,baseMg,highNa,0.623026049
exponential,glucose_5.5.1,5.5,-0.387745125,nacl,-0.387745125,#N/A,#N/A,33031.96574,5,27559.76046,15,baseMg,baseNa,0.832932611
exponential,nacl_200_8.1,8,-0.462364376,nacl,#N/A,#N/A,-0.462364376,24860.99294,200,20840.99957,15,baseMg,highNa,0.904389198
exponential,nacl_300_10.1,10,-0.482986403,nacl,#N/A,#N/A,-0.482986403,18632.50148,300,16896.30106,15,baseMg,highNa,0.937217233
stationary,glucose_29.1,29,-0.283730412,nacl,-0.283730412,#N/A,#N/A,46380.6849,5,44386.12474,15,baseMg,baseNa,0.553296388
stationary,nacl_100_29.1,29,-0.303785621,nacl,#N/A,#N/A,-0.303785621,46467.21227,100,45008.10634,15,baseMg,highNa,0.538549528
stationary,nacl_200_29.1,29,-0.162237198,nacl,#N/A,#N/A,-0.162237198,50304.53729,200,50077.34022,15,baseMg,highNa,0.253210426
stationary,nacl_300_29.1,29,-0.48863567,nacl,#N/A,#N/A,-0.48863567,18001.92869,300,16501.37831,15,baseMg,highNa,0.940135439
exponential,lactate_9,9,-0.484792233,lactate,#N/A,#N/A,#N/A,21147.22867,#N/A,14769.68067,16,baseMg,baseNa,0.952040719
stationary,lactate_29,29,-0.466829716,lactate,#N/A,#N/A,#N/A,25180.82035,#N/A,19367.40869,16,baseMg,baseNa,0.917515247
exponential,lactate_8,8,-0.494210524,lactate,#N/A,#N/A,#N/A,20282.54328,#N/A,16670.27137,17,baseMg,baseNa,0.938883145
stationary,lactate_29.1,29,-0.355331831,lactate,#N/A,#N/A,#N/A,42087.66468,#N/A,39529.54434,17,baseMg,baseNa,0.654455211
exponential,lactate_9.1,9,-0.489003234,lactate,#N/A,#N/A,#N/A,20961.4132,#N/A,16333.41165,18,baseMg,baseNa,0.941333852
stationary,lactate_29.2,29,-0.321754408,lactate,#N/A,#N/A,#N/A,45139.62906,#N/A,43252.17582,18,baseMg,baseNa,0.579066738
exponential,gluconate_6,6,-0.350682275,gluconate,#N/A,#N/A,#N/A,40260.23477,#N/A,35338.68438,19,baseMg,baseNa,0.724891906
stationary,gluconate_27,27,-0.379146884,gluconate,#N/A,#N/A,#N/A,37502.86224,#N/A,35631.98324,19,baseMg,baseNa,0.719220934
exponential,gluconate_5,5,-0.480133553,gluconate,#N/A,#N/A,#N/A,21384.72461,#N/A,14748.635,20,baseMg,baseNa,0.952151384
stationary,gluconate_27.1,27,-0.299207872,gluconate,#N/A,#N/A,#N/A,46455.07739,#N/A,44572.00334,20,baseMg,baseNa,0.560637437
exponential,gluconate_6.1,6,-0.479365649,gluconate,#N/A,#N/A,#N/A,21987.77967,#N/A,14870.38004,21,baseMg,baseNa,0.951375575
stationary,gluconate_27.2,27,-0.304123033,gluconate,#N/A,#N/A,#N/A,47254.28713,#N/A,45310.76897,21,baseMg,baseNa,0.536669578
exponential,glucose_3.2,3,-0.484631337,glucose,-0.484631337,#N/A,#N/A,16196.05784,#N/A,12427.32306,7,baseMg,baseNa,0.966046875
exponential,glucose_4.2,4,-0.483309998,glucose,-0.483309998,#N/A,#N/A,17063.51894,#N/A,13462.95525,7,baseMg,baseNa,0.960152017
exponential,glucose_5.2,5,-0.468489659,glucose,-0.468489659,#N/A,#N/A,20280.58546,#N/A,11003.30491,7,baseMg,baseNa,0.973381826
exponential,glucose_6.3,6,-0.477999908,glucose,-0.477999908,#N/A,#N/A,20003.5896,#N/A,10948.85327,7,baseMg,baseNa,0.973644123
exponential,glucose_8.2,8,-0.328241618,glucose,-0.328241618,#N/A,#N/A,42788.87404,#N/A,38706.89685,7,baseMg,baseNa,0.669727361
stationary,glucose_24.2,24,-0.257244161,glucose,-0.257244161,#N/A,#N/A,49700.98784,#N/A,47485.30326,7,baseMg,baseNa,0.491010382
stationary,glucose_48.2,48,-0.236033217,glucose,-0.236033217,#N/A,#N/A,50212.04629,#N/A,48461.59723,7,baseMg,baseNa,0.452316692
late_stationary,glucose_168.2,168,-0.249826175,glucose,-0.249826175,#N/A,#N/A,47098.60883,#N/A,45225.07715,7,baseMg,baseNa,0.550267478
late_stationary,glucose_336.2,336,-0.367246768,glucose,-0.367246768,#N/A,#N/A,36438.79418,#N/A,34032.02183,7,baseMg,baseNa,0.745367127
exponential,mgso4_0.08_5.5,5.5,-0.384808058,mgso4,#N/A,-0.384808058,#N/A,33753.18321,0.08,28519.06576,22,highMg,baseNa,0.820803801
exponential,glucose_5.5.2,5.5,-0.389171418,mgso4,-0.389171418,#N/A,#N/A,33250.15106,0.8,27951.30885,22,highMg,baseNa,0.828097334
exponential,mgso4_8_5.5,5.5,-0.400633265,mgso4,#N/A,-0.400633265,#N/A,32577.47681,8,28082.3936,22,highMg,baseNa,0.82621267
exponential,mgso4_50_5,5,-0.37101305,mgso4,#N/A,-0.37101305,#N/A,34795.90584,50,30371.15319,22,highMg,baseNa,0.797110387
exponential,mgso4_200_5,5,-0.421424643,mgso4,#N/A,-0.421424643,#N/A,28952.20105,200,24648.57874,22,highMg,baseNa,0.866350535
exponential,mgso4_400_7,7,-0.477172908,mgso4,#N/A,-0.477172908,#N/A,21956.46962,400,20456.98444,22,highMg,baseNa,0.907987871
stationary,mgso4_0.08_28,28,-0.345863381,mgso4,#N/A,-0.345863381,#N/A,43158.33929,0.08,41038.70707,22,highMg,baseNa,0.618889828
stationary,glucose_28.1,28,-0.301692991,mgso4,-0.301692991,#N/A,#N/A,44889.94355,0.8,43303.18917,22,highMg,baseNa,0.586662395
stationary,mgso4_8_28,28,-0.314968463,mgso4,#N/A,-0.314968463,#N/A,46138.53115,8,44181.88325,22,highMg,baseNa,0.554254809
stationary,mgso4_50_28,28,-0.275518236,mgso4,#N/A,-0.275518236,#N/A,48215.33145,50,46865.44125,22,highMg,baseNa,0.502473974
stationary,mgso4_200_28,28,-0.369965723,mgso4,#N/A,-0.369965723,#N/A,39338.88572,200,38319.06054,22,highMg,baseNa,0.675347921
stationary,mgso4_400_28,28,-0.442029849,mgso4,#N/A,-0.442029849,#N/A,29801.07371,400,29747.33766,22,highMg,baseNa,0.805196921
exponential,mgso4_0.08_5.5.1,5.5,-0.364054633,mgso4,#N/A,-0.364054633,#N/A,36125.03646,0.08,31593.53314,23,highMg,baseNa,0.780080836
exponential,glucose_5.5.3,5.5,-0.351895328,mgso4,-0.351895328,#N/A,#N/A,35691.42683,0.8,31293.80181,23,highMg,baseNa,0.784376402
exponential,mgso4_8_5.5.1,5.5,-0.345813031,mgso4,#N/A,-0.345813031,#N/A,35676.50229,8,31431.80334,23,highMg,baseNa,0.782176224
exponential,mgso4_50_5.1,5,-0.357881802,mgso4,#N/A,-0.357881802,#N/A,34245.29671,50,30307.78747,23,highMg,baseNa,0.797239274
exponential,mgso4_200_5.1,5,-0.395450987,mgso4,#N/A,-0.395450987,#N/A,31408.74888,200,27399.61914,23,highMg,baseNa,0.834534421
exponential,mgso4_400_7.1,7,-0.475480117,mgso4,#N/A,-0.475480117,#N/A,22556.82351,400,23695.50748,23,highMg,baseNa,0.876543964
stationary,mgso4_0.08_28.1,28,-0.32420932,mgso4,#N/A,-0.32420932,#N/A,45546.78306,0.08,44008.74355,23,highMg,baseNa,0.547544145
stationary,glucose_28.2,28,-0.281162148,mgso4,-0.281162148,#N/A,#N/A,49575.52558,0.8,47840.28041,23,highMg,baseNa,0.476066607
stationary,mgso4_8_28.1,28,-0.271507154,mgso4,#N/A,-0.271507154,#N/A,48487.93961,8,46978.827,23,highMg,baseNa,0.5030022
stationary,mgso4_50_28.1,28,-0.311468072,mgso4,#N/A,-0.311468072,#N/A,45508.27613,50,43764.65718,23,highMg,baseNa,0.573669307
stationary,mgso4_200_28.1,28,-0.390612216,mgso4,#N/A,-0.390612216,#N/A,35654.46975,200,34872.64005,23,highMg,baseNa,0.731290962
stationary,mgso4_400_28.1,28,-0.461757719,mgso4,#N/A,-0.461757719,#N/A,27205.40478,400,27663.79274,23,highMg,baseNa,0.831648264
exponential,mgso4_0.08_5.5.2,5.5,-0.310866491,mgso4,#N/A,-0.310866491,#N/A,42534.09345,0.08,42055.25127,24,highMg,baseNa,0.553552643
exponential,glucose_5.5.4,5.5,-0.413083415,mgso4,-0.413083415,#N/A,#N/A,29755.56881,0.8,26529.81181,24,highMg,baseNa,0.844024686
exponential,mgso4_8_5.5.2,5.5,-0.444372092,mgso4,#N/A,-0.444372092,#N/A,22868.01778,8,20358.28228,24,highMg,baseNa,0.908710206
exponential,mgso4_50_5.2,5,-0.450344681,mgso4,#N/A,-0.450344681,#N/A,23044.75475,50,21873.01642,24,highMg,baseNa,0.894803888
exponential,mgso4_200_5.2,5,-0.455004588,mgso4,#N/A,-0.455004588,#N/A,21927.21611,200,21738.5012,24,highMg,baseNa,0.896078551
exponential,mgso4_400_7.2,7,-0.499613634,mgso4,#N/A,-0.499613634,#N/A,0,400,17812.09679,24,highMg,baseNa,0.930218333
stationary,mgso4_0.08_28.2,28,-0.407968531,mgso4,#N/A,-0.407968531,#N/A,31827.30118,0.08,26631.9227,24,highMg,baseNa,0.842106224
stationary,glucose_28.3,28,-0.252932366,mgso4,-0.252932366,#N/A,#N/A,47247.10251,0.8,44356.89318,24,highMg,baseNa,0.562322714
stationary,mgso4_8_28.2,28,-0.124402833,mgso4,#N/A,-0.124402833,#N/A,52872.97713,8,51829.99831,24,highMg,baseNa,0.298333689
stationary,mgso4_50_28.2,28,-0.286008387,mgso4,#N/A,-0.286008387,#N/A,45428.19343,50,43751.91067,24,highMg,baseNa,0.551541522
stationary,mgso4_200_28.2,28,-0.401750478,mgso4,#N/A,-0.401750478,#N/A,34799.55773,200,33873.72443,24,highMg,baseNa,0.747645892
stationary,mgso4_400_28.2,28,-0.460463536,mgso4,#N/A,-0.460463536,#N/A,28328.54918,400,29107.12755,24,highMg,baseNa,0.813706579
exponential,mgso4_0.005_5,5,-0.380175849,mgso4,#N/A,-0.380175849,#N/A,35169.96584,0.005,30685.28725,25,lowMg,baseNa,0.785649626
exponential,mgso4_0.01_5.5,5.5,-0.379952874,mgso4,#N/A,-0.379952874,#N/A,33519.72818,0.01,28670.44859,25,lowMg,baseNa,0.81807059
exponential,mgso4_0.02_5.5,5.5,-0.39759797,mgso4,#N/A,-0.39759797,#N/A,32207.7659,0.02,27387.83812,25,lowMg,baseNa,0.834393806
exponential,mgso4_0.04_5.5,5.5,-0.399380932,mgso4,#N/A,-0.399380932,#N/A,30900.50555,0.04,25414.56586,25,lowMg,baseNa,0.857840259
exponential,mgso4_0.08_5.5.3,5.5,-0.422965416,mgso4,#N/A,-0.422965416,#N/A,28021.92697,0.08,22931.37299,25,lowMg,baseNa,0.884067575
stationary,mgso4_0.005_26,26,-0.325865945,mgso4,#N/A,-0.325865945,#N/A,42079.51429,0.005,40933.72638,25,lowMg,baseNa,0.62203791
stationary,mgso4_0.01_26,26,-0.273536679,mgso4,#N/A,-0.273536679,#N/A,45670.81754,0.01,44869.97964,25,lowMg,baseNa,0.534236311
stationary,mgso4_0.02_26,26,-0.315967303,mgso4,#N/A,-0.315967303,#N/A,45189.63064,0.02,43882.78345,25,lowMg,baseNa,0.558277668
stationary,mgso4_0.04_26,26,-0.179726144,mgso4,#N/A,-0.179726144,#N/A,51926.07977,0.04,50420.1129,25,lowMg,baseNa,0.407011946
stationary,mgso4_0.08_26,26,-0.185006448,mgso4,#N/A,-0.185006448,#N/A,51596.64645,0.08,50203.23028,25,lowMg,baseNa,0.411004926
exponential,mgso4_0.005_5.1,5,-0.435796523,mgso4,#N/A,-0.435796523,#N/A,26201.64788,0.005,19553.75895,26,lowMg,baseNa,0.915902945
exponential,mgso4_0.01_5.5.1,5.5,-0.413575336,mgso4,#N/A,-0.413575336,#N/A,31321.40943,0.01,25890.0398,26,lowMg,baseNa,0.852060857
exponential,mgso4_0.02_5.5.1,5.5,-0.404323788,mgso4,#N/A,-0.404323788,#N/A,29329.69712,0.02,23794.66696,26,lowMg,baseNa,0.875257482
exponential,mgso4_0.04_5.5.1,5.5,-0.396740778,mgso4,#N/A,-0.396740778,#N/A,31400.27609,0.04,26435.37965,26,lowMg,baseNa,0.846057024
exponential,mgso4_0.08_5.5.4,5.5,-0.391328556,mgso4,#N/A,-0.391328556,#N/A,32034.57087,0.08,27050.8979,26,lowMg,baseNa,0.838822857
stationary,mgso4_0.005_26.1,26,-0.315589688,mgso4,#N/A,-0.315589688,#N/A,45110.66526,0.005,43834.41724,26,lowMg,baseNa,0.569607264
stationary,mgso4_0.01_26.1,26,-0.317226707,mgso4,#N/A,-0.317226707,#N/A,45161.0785,0.01,43665.12528,26,lowMg,baseNa,0.563036298
stationary,mgso4_0.02_26.1,26,-0.275914353,mgso4,#N/A,-0.275914353,#N/A,48429.78669,0.02,47351.38292,26,lowMg,baseNa,0.494162707
stationary,mgso4_0.04_26.1,26,-0.219469508,mgso4,#N/A,-0.219469508,#N/A,50161.00936,0.04,48800.25019,26,lowMg,baseNa,0.466612784
stationary,mgso4_0.08_26.1,26,-0.236496602,mgso4,#N/A,-0.236496602,#N/A,49923.00258,0.08,48574.18373,26,lowMg,baseNa,0.469901162
exponential,mgso4_0.005_5.2,5,-0.448483496,mgso4,#N/A,-0.448483496,#N/A,25705.18178,0.005,18809.82589,27,lowMg,baseNa,0.922022947
exponential,mgso4_0.01_5.5.2,5.5,-0.410997283,mgso4,#N/A,-0.410997283,#N/A,30950.80584,0.01,25118.86532,27,lowMg,baseNa,0.860692144
exponential,mgso4_0.02_5.5.2,5.5,-0.425452419,mgso4,#N/A,-0.425452419,#N/A,27421.85719,0.02,21251.11457,27,lowMg,baseNa,0.900623511
exponential,mgso4_0.04_5.5.2,5.5,-0.393729105,mgso4,#N/A,-0.393729105,#N/A,32662.89278,0.04,27428.48405,27,lowMg,baseNa,0.834073442
exponential,mgso4_0.08_5.5.5,5.5,-0.397654177,mgso4,#N/A,-0.397654177,#N/A,31125.78956,0.08,25422.91049,27,lowMg,baseNa,0.857727512
stationary,mgso4_0.005_26.2,26,-0.315615699,mgso4,#N/A,-0.315615699,#N/A,44932.88741,0.005,42968.30104,27,lowMg,baseNa,0.582355441
stationary,mgso4_0.01_26.2,26,-0.342071831,mgso4,#N/A,-0.342071831,#N/A,44484.39326,0.01,42747.08912,27,lowMg,baseNa,0.588306879
stationary,mgso4_0.02_26.2,26,-0.310113626,mgso4,#N/A,-0.310113626,#N/A,46102.78629,0.02,44750.2401,27,lowMg,baseNa,0.551962771
stationary,mgso4_0.04_26.2,26,-0.216327108,mgso4,#N/A,-0.216327108,#N/A,50171.41007,0.04,48543.77908,27,lowMg,baseNa,0.47160848
stationary,mgso4_0.08_26.2,26,-0.20887524,mgso4,#N/A,-0.20887524,#N/A,49887.54484,0.08,48829.15457,27,lowMg,baseNa,0.407420266
